First Name [Required],Last Name [Required],Email Address [Required],Password [Required],Password Hash Function [UPLOAD ONLY],Org Unit Path [Required],New Primary Email [UPLOAD ONLY],Recovery Email,Home Secondary Email,Work Secondary Email,Recovery Phone [MUST BE IN THE E.164 FORMAT],Work Phone,Home Phone,Mobile Phone,Work Address,Home Address,Employee ID,Employee Type,Employee Title,Manager Email,Department,Cost Center,Building ID,Floor Name,Floor Section,Change Password at Next Sign-In,New Status [UPLOAD ONLY],New Licenses [UPLOAD ONLY],Advanced Protection Program enrollment
David,Zhang,david.zhang@quadrigasoftware.com,InitialPassword123,,/fictum/platform,,,,,,,,,,,EMP011,Full-time,Engineering Manager,sarah.o'connor@quadrigasoftware.com,Eng,CC201,HQ,4,HQ-04-01,,ACTIVE,,
Sarah,Miller,sarah.miller@quadrigasoftware.com,InitialPassword123,,/fictum/platform,,,,,,,,,,,EMP012,Full-time,Product Manager,maya.patel@quadrigasoftware.com,Prod,CC301,HQ,4,HQ-04-02,,ACTIVE,,
Elena,Schmidt,elena.schmidt@quadrigasoftware.com,InitialPassword123,,/fictum/platform,,,,,,,,,,,EMP013,Full-time,Designer,isabella.rossi@quadrigasoftware.com,Design,CC401,HQ,4,HQ-04-03,,ACTIVE,,
Lars,van der Berg,lars.vanderberg@quadrigasoftware.com,InitialPassword123,,/fictum/platform,,,,,,,,,,,EMP014,Full-time,QA Engineer,jean-pierre.lefebvre@quadrigasoftware.com,QA,CC201,HQ,4,HQ-04-04,,ACTIVE,,
Wei,Chen,wei.chen@quadrigasoftware.com,InitialPassword123,,/fictum/platform,,,,,,,,,,,EMP015,Full-time,Software Engineer,david.zhang@quadrigasoftware.com,Eng,CC201,HQ,4,HQ-04-05,,ACTIVE,,
Hiroshi,Tanaka,hiroshi.tanaka@quadrigasoftware.com,InitialPassword123,,/fictum/platform,,,,,,,,,,,EMP016,Full-time,Software Engineer,david.zhang@quadrigasoftware.com,Eng,CC201,HQ,4,HQ-04-06,,ACTIVE,,
Fatima,Zahra,fatima.zahra@quadrigasoftware.com,InitialPassword123,,/fictum/platform,,,,,,,,,,,EMP017,Full-time,Software Engineer,david.zhang@quadrigasoftware.com,Eng,CC201,HQ,4,HQ-04-07,,ACTIVE,,
Xing-Hua,Li,xing-hua.li@quadrigasoftware.com,InitialPassword123,,/fictum/carthago,,,,,,,,,,,EMP018,Full-time,Engineering Manager,sarah.o'connor@quadrigasoftware.com,Eng,CC202,HQ,5,HQ-05-01,,ACTIVE,,
Ahmed,Hassan,ahmed.hassan@quadrigasoftware.com,InitialPassword123,,/fictum/carthago,,,,,,,,,,,EMP019,Full-time,Product Manager,maya.patel@quadrigasoftware.com,Prod,CC302,HQ,5,HQ-05-02,,ACTIVE,,
Sofia,Rodriguez,sofia.rodriguez@quadrigasoftware.com,InitialPassword123,,/fictum/carthago,,,,,,,,,,,EMP020,Full-time,Designer,isabella.rossi@quadrigasoftware.com,Design,CC402,HQ,5,HQ-05-03,,ACTIVE,,
Hans,Müller,hans.muller@quadrigasoftware.com,InitialPassword123,,/fictum/carthago,,,,,,,,,,,EMP021,Full-time,QA Lead,jean-pierre.lefebvre@quadrigasoftware.com,QA,CC202,HQ,5,HQ-05-04,,ACTIVE,,
Anika,Sharma,anika.sharma@quadrigasoftware.com,InitialPassword123,,/fictum/carthago,,,,,,,,,,,EMP022,Full-time,Software Engineer,xing-hua.li@quadrigasoftware.com,Eng,CC202,HQ,5,HQ-05-05,,ACTIVE,,
Mateo,Gomez,mateo.gomez@quadrigasoftware.com,InitialPassword123,,/fictum/carthago,,,,,,,,,,,EMP023,Full-time,Software Engineer,xing-hua.li@quadrigasoftware.com,Eng,CC202,HQ,5,HQ-05-06,,ACTIVE,,
Sia,Nyoni,sia.nyoni@quadrigasoftware.com,InitialPassword123,,/fictum/carthago,,,,,,,,,,,EMP024,Full-time,Software Engineer,xing-hua.li@quadrigasoftware.com,Eng,CC202,HQ,5,HQ-05-07,,ACTIVE,,
Nadir,Al-Farsi,nadir.al-farsi@quadrigasoftware.com,InitialPassword123,,/fictum/britannia,,,,,,,,,,,EMP025,Full-time,Engineering Manager,sarah.o'connor@quadrigasoftware.com,Eng,CC203,HQ,6,HQ-06-01,,ACTIVE,,
Emma,Watson,emma.watson@quadrigasoftware.com,InitialPassword123,,/fictum/britannia,,,,,,,,,,,EMP026,Full-time,Product Manager,maya.patel@quadrigasoftware.com,Prod,CC303,HQ,6,HQ-06-02,,ACTIVE,,
Olivia,de Jong,olivia.dejong@quadrigasoftware.com,InitialPassword123,,/fictum/britannia,,,,,,,,,,,EMP027,Full-time,Designer,isabella.rossi@quadrigasoftware.com,Design,CC403,HQ,6,HQ-06-03,,ACTIVE,,
Thomas,Brown,thomas.brown@quadrigasoftware.com,InitialPassword123,,/fictum/britannia,,,,,,,,,,,EMP028,Full-time,QA Engineer,jean-pierre.lefebvre@quadrigasoftware.com,QA,CC203,HQ,6,HQ-06-04,,ACTIVE,,
Yuki,Sato,yuki.sato@quadrigasoftware.com,InitialPassword123,,/fictum/britannia,,,,,,,,,,,EMP029,Full-time,Software Engineer,nadir.al-farsi@quadrigasoftware.com,Eng,CC203,HQ,6,HQ-06-05,,ACTIVE,,
Priya,Das,priya.das@quadrigasoftware.com,InitialPassword123,,/fictum/britannia,,,,,,,,,,,EMP030,Full-time,Software Engineer,nadir.al-farsi@quadrigasoftware.com,Eng,CC203,HQ,6,HQ-06-06,,ACTIVE,,
Carlos,Silva,carlos.silva@quadrigasoftware.com,InitialPassword123,,/fictum/britannia,,,,,,,,,,,EMP031,Full-time,Software Engineer,nadir.al-farsi@quadrigasoftware.com,Eng,CC203,HQ,6,HQ-06-07,,ACTIVE,,
